"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_00001",90.9293959667998,-0.4432958756934,0.194297266883462,-2.28153428405807,0.022516850375304,0.0293768227118662
"AENJPLPP_00003",1132.79181077832,-0.836016882159388,0.07468564813933,-11.1938090247239,4.37238129680071e-29,1.18661457001712e-28
"AENJPLPP_00004",273.990160475662,-0.989888849875636,0.129312515911173,-7.65501191358468,1.93294322278726e-14,4.00336462642711e-14
"AENJPLPP_00005",1203.51620027467,0.0528994715964802,0.0751177113170384,0.704221024163198,0.481295140037888,0.526515963070261
"AENJPLPP_00006",915.953333755834,0.436582010360166,0.0808669609004149,5.39876861327587,6.7099847199549e-08,1.15823802634906e-07
"AENJPLPP_00007",493.991857570204,0.376605507955928,0.100757146032837,3.73775481724333,0.000185670875712671,0.000279851754697359
"AENJPLPP_00008",68.7372251106752,-0.429087020962741,0.223093488574419,-1.92335071590226,0.0544360193202843,0.068622375870419
"AENJPLPP_00009",61.561226516225,-0.587875852531828,0.238721755175275,-2.46259856836339,0.0137934253219447,0.0183241124714885
"AENJPLPP_00010",11213.5619732803,0.683053958443108,0.0524381580185457,13.0258953451709,8.71725098473721e-39,2.76220183542489e-38
"AENJPLPP_00011",1257.0150437456,-0.321909584696808,0.075954140604111,-4.23820982156415,2.25309152634517e-05,3.55224825377214e-05
"AENJPLPP_00012",754.024810741458,0.542984975729039,0.0817761618248737,6.63989313770753,3.13910653703911e-11,5.99414966285762e-11
"AENJPLPP_00013",802.98735191472,0.739593165027374,0.0843919619979351,8.76378682895737,1.88798689710951e-18,4.28178959842905e-18
"AENJPLPP_00014",1179.75407720504,0.543661717790788,0.0830019549862349,6.54998689947664,5.75421311058379e-11,1.08948430286216e-10
"AENJPLPP_00015",5751.65874157288,0.778383654490187,0.0597374615455609,13.0300758410453,8.25255857611553e-39,2.61780507338218e-38
"AENJPLPP_00016",20491.8375805118,0.096515135933766,0.0647433456271191,1.49073445307619,0.136031226792924,0.163619550772819
"AENJPLPP_00017",3.74151276105949,0.158599990082143,0.946010760401112,0.167651359499226,0.866857563944103,0.886648832527302
"AENJPLPP_00018",50.8679592586863,1.31495708666045,0.260740393091656,5.04316600534624,4.57891671415958e-07,7.67634166472809e-07
"AENJPLPP_00020",7.63352962351984,-1.21828615662743,0.709509610138829,-1.71708196649944,0.0859641966558063,0.105623519266543
"AENJPLPP_00021",29.4981295352233,1.4291918192858,0.353655048549954,4.04120293247821,5.31777149192936e-05,8.22813527337847e-05
"AENJPLPP_00022",4020.52166085851,3.33809915067905,0.0917779641630053,36.3714665183715,1.20318606505274e-289,1.94648767857421e-288
"AENJPLPP_00023",11.8082179036018,-0.0433744519532443,0.534828383191999,-0.0810997570741738,0.93536261887982,0.942483026359182
"AENJPLPP_00024",4749.71969869159,2.94292068619072,0.0964626226027659,30.5084042584006,2.01602693140977e-204,2.25795016317894e-203
"AENJPLPP_00025",1661.92176145872,-0.89872365025801,0.0670404085554442,-13.4057006755074,5.59919618317939e-41,1.82585210363028e-40
"AENJPLPP_00026",697.687095962022,0.0967450227803284,0.0900203769928252,1.07470137331284,0.282508448710355,0.323756238742446
"AENJPLPP_00027",4.44593186065506,-0.151771326459713,0.822273738209154,-0.184575183916561,0.853562251844852,0.875818631914097
"AENJPLPP_00028",187.37310493203,1.31268845529014,0.143892369125495,9.12271069875346,7.32683546851991e-20,1.71509203250241e-19
"AENJPLPP_00029",348.154219571964,1.72019760114287,0.11380980918743,15.1146690555463,1.29620655218331e-51,4.97306123841606e-51
"AENJPLPP_00031",14.9037701769071,0.718131598848625,0.478456650659285,1.5009334656736,0.133372771318771,0.160554572170426
"AENJPLPP_00032",8795.80767644608,1.38606642724216,0.0564308050919183,24.5622302390413,3.20140002652528e-133,2.4214225655173e-132
"AENJPLPP_00034",356.653811745678,-1.0830155491453,0.111189962179088,-9.74022769610215,2.03098765785273e-22,4.96577334984648e-22
"AENJPLPP_00035",2507.57002959682,0.834732701528191,0.0701698883584795,11.8958818526796,1.24332715465296e-32,3.57410530537949e-32
"AENJPLPP_00036",970.50838406408,0.0105654204395142,0.0905005367003345,0.11674428489301,0.907062695924031,0.918886336401251
"AENJPLPP_00037",217.136671943267,0.14060380741118,0.130641719911494,1.07625502409518,0.281813217290009,0.323150462768464
"AENJPLPP_00038",1021.04290131675,-0.119758968485393,0.0817873805046399,-1.46427196648753,0.14311965358766,0.171861621132893
"AENJPLPP_00039",1092.15666766966,2.8698401495346,0.0972990062184439,29.495061266007,3.33100092395512e-191,3.47665759518183e-190
"AENJPLPP_00040",791.807366255446,1.89284749668908,0.0850260092734433,22.261982102461,8.63442596693477e-110,5.51391412625308e-109
"AENJPLPP_00041",761.87319799565,2.22737444833744,0.124727729764615,17.8578929684756,2.50934683239312e-71,1.18239773073281e-70
